column1,enrollments,h1,institution,language,level,pace,price,subject,time_duration,url,video_transcript
10,"40,655",Fundamentals of Digital Marketing,UMD,English,Introductory,Self-paced - Progress at your own speed,16409,USMx,4 weeks - 3–5 hours per week,https://www.edx.org/course/fundamentals-of-digital-marketing?index=product&queryID=4eaec293abba115c27156fd47c170644&position=11&results_level=second-level-results&search_index=product&term=&campaign=Fundamentals+of+Digital+Marketing&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
11,"58,123",PredictionX: John Snow and the Cholera Epidemic of 1854,HarvardX,English,Introductory,Self-paced - Progress at your own speed,0,History,1 weeks -,https://www.edx.org/course/predictionx-john-snow-and-the-cholera-epidemic-of?index=product&queryID=4eaec293abba115c27156fd47c170644&position=12&results_level=second-level-results&search_index=product&term=&campaign=PredictionX%3A+John+Snow+and+the+Cholera+Epidemic+of+1854&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
12,"2,36,133",Computing in Python I: Fundamentals and Procedural Programming,GTx,English,Introductory,Self-paced - Progress at your own speed,12286,Computer Science,5 weeks - 9–10 hours per week,https://www.edx.org/course/computing-in-python-i-fundamentals-and-procedural?index=product&queryID=4eaec293abba115c27156fd47c170644&position=13&results_level=second-level-results&search_index=product&term=&campaign=Computing+in+Python+I%3A+Fundamentals+and+Procedural+Programming&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
394,"35,281",AP® Psychology - Course 2: How the Brain Works,UBCx,English,Introductory,Self-paced - Progress at your own speed,4040,Social Sciences,5 weeks - 8–12 hours per week,https://www.edx.org/course/apr-psychology-part-2-how-brain-works-ubcx-psyc-2x, English
13,"1,21,777",AI for Everyone: Master the Basics,IBM,English,Introductory,Self-paced - Progress at your own speed,8163,Computer Science,4 weeks - 1–2 hours per week,https://www.edx.org/course/artificial-intelligence-for-everyone?index=product&queryID=4eaec293abba115c27156fd47c170644&position=14&results_level=second-level-results&search_index=product&term=&campaign=AI+for+Everyone%3A+Master+the+Basics&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,NA
14,"75,105",Statistical Learning,StanfordOnline,English,Introductory,Self-paced - Progress at your own speed,12286,Data Analysis & Statistics,11 weeks - 3–5 hours per week,https://www.edx.org/course/statistical-learning?index=product&queryID=4eaec293abba115c27156fd47c170644&position=15&results_level=second-level-results&search_index=product&term=&campaign=Statistical+Learning&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
15,"1,37,952",Machine Learning with Python: A Practical Introduction,IBM,English,Introductory,Self-paced - Progress at your own speed,8163,Data Analysis & Statistics,5 weeks - 4–6 hours per week,https://www.edx.org/course/machine-learning-with-python-a-practical-introduct?index=product&queryID=4eaec293abba115c27156fd47c170644&position=16&results_level=second-level-results&search_index=product&term=&campaign=Machine+Learning+with+Python%3A+A+Practical+Introduction&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
16,"1,32,917",Introduction to Data Science,IBM,English,Introductory,Self-paced - Progress at your own speed,8163,Data Analysis & Statistics,6 weeks - 3–6 hours per week,https://www.edx.org/course/intro-to-data-science?index=product&queryID=4eaec293abba115c27156fd47c170644&position=17&results_level=second-level-results&search_index=product&term=&campaign=Introduction+to+Data+Science&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,NA
17,"2,45,820",Data Science: Visualization,HarvardX,English,Introductory,Self-paced - Progress at your own speed,12286,Data Analysis & Statistics,8 weeks - 1–2 hours per week,https://www.edx.org/course/data-science-visualization?index=product&queryID=4eaec293abba115c27156fd47c170644&position=18&results_level=second-level-results&search_index=product&term=&campaign=Data+Science%3A+Visualization&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
18,"1,44,180",Accounting and Finance,IIMBx,English,Intermediate,Self-paced - Progress at your own speed,12369,Business & Management,11 weeks - 2–4 hours per week,https://www.edx.org/course/accounting-and-finance?index=product&queryID=4eaec293abba115c27156fd47c170644&position=19&results_level=second-level-results&search_index=product&term=&campaign=Accounting+and+Finance&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch," English, हिन्दी"
19,"1,39,215",Masterpieces of World Literature,HarvardX,English,Introductory,Self-paced - Progress at your own speed,16409,Literature,12 weeks - 5–7 hours per week,https://www.edx.org/course/masterpieces-of-world-literature?index=product&queryID=4eaec293abba115c27156fd47c170644&position=20&results_level=second-level-results&search_index=product&term=&campaign=Masterpieces+of+World+Literature&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
20,"1,69,446",The Psychology of Criminal Justice,UQx,English,Introductory,Self-paced - Progress at your own speed,16409,Humanities,8 weeks - 1–2 hours per week,https://www.edx.org/course/the-psychology-of-criminal-justice?index=product&queryID=4eaec293abba115c27156fd47c170644&position=21&results_level=second-level-results&search_index=product&term=&campaign=The+Psychology+of+Criminal+Justice&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
21,"1,03,265","Nutrition, Exercise and Sports",WageningenX,English,Intermediate,Self-paced - Progress at your own speed,13935,Food & Nutrition,6 weeks - 4–8 hours per week,https://www.edx.org/course/nutrition-exercise-and-sports?index=product&queryID=4eaec293abba115c27156fd47c170644&position=22&results_level=second-level-results&search_index=product&term=&campaign=Nutrition%2C+Exercise+and+Sports&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
22,"45,050",Academic English: How to Write an Essay,UQx,English,Introductory,Self-paced - Progress at your own speed,8163,Communication,10 weeks - 2–3 hours per week,https://www.edx.org/course/academic-english?index=product&queryID=4eaec293abba115c27156fd47c170644&position=23&results_level=second-level-results&search_index=product&term=&campaign=Academic+English%3A+How+to+Write+an+Essay&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
23,"2,24,567",Introduction to Marketing,UBCx,English,Introductory,Self-paced - Progress at your own speed,12369,Business & Management,6 weeks - 3–5 hours per week,https://www.edx.org/course/introduction-to-marketing?index=product&queryID=4eaec293abba115c27156fd47c170644&position=24&results_level=second-level-results&search_index=product&term=&campaign=Introduction+to+Marketing&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
24,"1,55,268",Introduction to Family Engagement in Education,HarvardX,English,Introductory,Self-paced - Progress at your own speed,0,Education & Teacher Training,6 weeks - 2–4 hours per week,https://www.edx.org/course/introduction-to-family-engagement-in-education?index=product&queryID=d04c732fc823003a640086173b40474f&position=1&results_level=second-level-results&search_index=product&term=&campaign=Introduction+to+Family+Engagement+in+Education&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
25,"17,154",Google AI for Anyone,Google,English,Introductory,Self-paced - Progress at your own speed,16409,Computer Science,4 weeks - 2–3 hours per week,https://www.edx.org/course/google-ai-for-anyone?index=product&queryID=d04c732fc823003a640086173b40474f&position=2&results_level=second-level-results&search_index=product&term=&campaign=Google+AI+for+Anyone&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
26,"1,66,865",C Programming: Getting Started,DartmouthX,English,Introductory,Self-paced - Progress at your own speed,6514,IMTx,5 weeks - 2–4 hours per week,https://www.edx.org/course/c-programming-getting-started?index=product&queryID=d04c732fc823003a640086173b40474f&position=3&results_level=second-level-results&search_index=product&term=&campaign=C+Programming%3A+Getting+Started&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
27,"1,57,691",Introduction to Corporate Finance,ColumbiaX,English,Introductory,Self-paced - Progress at your own speed,18553,Business & Management,4 weeks - 3–4 hours per week,https://www.edx.org/course/introduction-to-corporate-finance?index=product&queryID=d04c732fc823003a640086173b40474f&position=4&results_level=second-level-results&search_index=product&term=&campaign=Introduction+to+Corporate+Finance&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
28,"7,534",Introduction to ChatGPT,edX,English,Introductory,Self-paced - Progress at your own speed,1649,Computer Science,1 weeks - 1–2 hours per week,https://www.edx.org/course/introduction-to-chatgpt?index=product&queryID=d04c732fc823003a640086173b40474f&position=5&results_level=second-level-results&search_index=product&term=&campaign=Introduction+to+ChatGPT&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
29,"1,52,789",How to Code: Simple Data,UBCx,English,Introductory,Self-paced - Progress at your own speed,10307,Computer Science,7 weeks - 2–3 hours per week,https://www.edx.org/course/how-to-code-simple-data?index=product&queryID=d04c732fc823003a640086173b40474f&position=6&results_level=second-level-results&search_index=product&term=&campaign=How+to+Code%3A+Simple+Data&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
30,"46,884",Food Fermentation: The Science of Cooking with Microbes,HarvardX,English,Introductory,Self-paced - Progress at your own speed,13935,Biology & Life Sciences,14 weeks - 2–3 hours per week,https://www.edx.org/course/fermentation-cooking-with-microbes?index=product&queryID=d04c732fc823003a640086173b40474f&position=7&results_level=second-level-results&search_index=product&term=&campaign=Food+Fermentation%3A+The+Science+of+Cooking+with+Microbes&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
31,"1,00,538","Principles, Statistical and Computational Tools for Reproducible Data Science",HarvardX,English,Intermediate,Self-paced - Progress at your own speed,8163,Data Analysis & Statistics,8 weeks - 3–8 hours per week,https://www.edx.org/course/principles-statistical-and-computational-tools-for?index=product&queryID=d04c732fc823003a640086173b40474f&position=8&results_level=second-level-results&search_index=product&term=&campaign=Principles%2C+Statistical+and+Computational+Tools+for+Reproducible+Data+Science&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
32,"29,042",Marketing digital en redes sociales,UPValenciaX,Español,Introductory,Self-paced - Progress at your own speed,4040,Business & Management,3 weeks - 3–4 hours per week,https://www.edx.org/course/marketing-digital-en-redes-sociales?index=product&queryID=d04c732fc823003a640086173b40474f&position=9&results_level=second-level-results&search_index=product&term=&campaign=Marketing+digital+en+redes+sociales&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, Español
33,"84,745",Python: aprender a programar,UPValenciaX,Español,Introductory,Self-paced - Progress at your own speed,4040,Computer Science,8 weeks - 3–4 hours per week,https://www.edx.org/course/python-aprender-a-programar?index=product&queryID=d04c732fc823003a640086173b40474f&position=10&results_level=second-level-results&search_index=product&term=&campaign=Python%3A+aprender+a+programar&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, Español
34,"32,646",PredictionX: Lost Without Longitude,HarvardX,English,Introductory,Self-paced - Progress at your own speed,0,History,1 weeks - 2–5 hours per week,https://www.edx.org/course/predictionx-lost-without-longitude?index=product&queryID=d04c732fc823003a640086173b40474f&position=11&results_level=second-level-results&search_index=product&term=&campaign=PredictionX%3A+Lost+Without+Longitude&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
35,"1,67,057",Pyramids of Giza: Ancient Egyptian Art and Archaeology,HarvardX,English,Introductory,Self-paced - Progress at your own speed,12286,Art & Culture,8 weeks - 2–4 hours per week,https://www.edx.org/course/pyramids-of-giza-ancient-egyptian-art-and-archaeol?index=product&queryID=d04c732fc823003a640086173b40474f&position=12&results_level=second-level-results&search_index=product&term=&campaign=Pyramids+of+Giza%3A+Ancient+Egyptian+Art+and+Archaeology&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
36,"1,00,169",SQL for Data Science,IBM,English,Introductory,Self-paced - Progress at your own speed,8163,Data Analysis & Statistics,4 weeks - 2–4 hours per week,https://www.edx.org/course/sql-for-data-science?index=product&queryID=d04c732fc823003a640086173b40474f&position=13&results_level=second-level-results&search_index=product&term=&campaign=SQL+for+Data+Science&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,NA
37,"1,81,712",Data Science: Probability,HarvardX,English,Introductory,Self-paced - Progress at your own speed,8163,Data Analysis & Statistics,8 weeks - 1–2 hours per week,https://www.edx.org/course/data-science-probability?index=product&queryID=d04c732fc823003a640086173b40474f&position=14&results_level=second-level-results&search_index=product&term=&campaign=Data+Science%3A+Probability&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
38,"25,650",Excel for Everyone: Data Analysis Fundamentals,UBCx,English,Intermediate,Self-paced - Progress at your own speed,12286,Data Analysis & Statistics,6 weeks - 2–4 hours per week,https://www.edx.org/course/excel-for-everyone-data-analysis-fundamentals?index=product&queryID=d04c732fc823003a640086173b40474f&position=15&results_level=second-level-results&search_index=product&term=&campaign=Excel+for+Everyone%3A+Data+Analysis+Fundamentals&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
39,"1,15,552",Introduction to Cybersecurity,UWashingtonX,English,Introductory,Self-paced - Progress at your own speed,16409,Computer Science,6 weeks - 2–5 hours per week,https://www.edx.org/course/introduction-to-cybersecurity?index=product&queryID=d04c732fc823003a640086173b40474f&position=16&results_level=second-level-results&search_index=product&term=&campaign=Introduction+to+Cybersecurity&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
93,"13,500",SOLIDWORKS CAD Fundamentals,SOLIDWORKS,English,Introductory,Self-paced - Progress at your own speed,8163,Design,5 weeks - 2–4 hours per week,https://www.edx.org/course/solidworks-cad-fundamentals?index=product&queryID=16feeb27caf90a919dd1cbb65188d2e4&position=22&results_level=second-level-results&search_index=product&term=&campaign=SOLIDWORKS+CAD+Fundamentals&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
40,"1,36,613",Upper-Intermediate English: Business and Modern Life,UPValenciaX,English,Intermediate,Self-paced - Progress at your own speed,4123,Language,4 weeks - 3–5 hours per week,https://www.edx.org/course/upper-intermediate-english-modern-life?index=product&queryID=d04c732fc823003a640086173b40474f&position=17&results_level=second-level-results&search_index=product&term=&campaign=Upper-Intermediate+English%3A+Business+and+Modern+Life&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
41,"1,80,971",Marketing Digital: Content & Community Manager,GalileoX,Español,Introductory,Self-paced - Progress at your own speed,4040,Communication,5 weeks - 3–4 hours per week,https://www.edx.org/course/marketing-digital-content-community-manager?index=product&queryID=d04c732fc823003a640086173b40474f&position=18&results_level=second-level-results&search_index=product&term=&campaign=Marketing+Digital%3A+Content+%26+Community+Manager&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, Español
42,"15,982",Understanding the TOEFL Essentials Test,ETSx,English,Introductory,Self-paced - Progress at your own speed,4040,Communication,6 weeks - 1–3 hours per week,https://www.edx.org/course/etsx-understanding-the-toefl-essentials-test?index=product&queryID=d04c732fc823003a640086173b40474f&position=19&results_level=second-level-results&search_index=product&term=&campaign=Understanding+the+TOEFL+Essentials+Test&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
43,"1,22,857","Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",HarvardX,English,Introductory,Self-paced - Progress at your own speed,12286,Medicine,10 weeks - 1–2 hours per week,https://www.edx.org/course/bioethics-the-law-medicine-and-ethics-of-reproduct?index=product&queryID=d04c732fc823003a640086173b40474f&position=20&results_level=second-level-results&search_index=product&term=&campaign=Bioethics%3A+The+Law%2C+Medicine%2C+and+Ethics+of+Reproductive+Technologies+and+Genetics&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
44,"98,849",Applied Scrum for Agile Project Management,UMD,English,Advanced,Self-paced - Progress at your own speed,16409,USMx,4 weeks - 2–3 hours per week,https://www.edx.org/course/usmx-applied-scrum-for-project-management-2?index=product&queryID=d04c732fc823003a640086173b40474f&position=21&results_level=second-level-results&search_index=product&term=&campaign=Applied+Scrum+for+Agile+Project+Management&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
45,"11,282",Introduction to Blockchain,IBM,English,Introductory,Self-paced - Progress at your own speed,12286,Computer Science,3 weeks - 3–4 hours per week,https://www.edx.org/course/introduction-to-blockchain?index=product&queryID=d04c732fc823003a640086173b40474f&position=22&results_level=second-level-results&search_index=product&term=&campaign=Introduction+to+Blockchain&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
46,"53,695","A-level Mathematics for Year 12 - Course 1: Algebraic Methods, Graphs and Applied Mathematics Methods",ImperialX,English,Intermediate,Self-paced - Progress at your own speed,4040,Math,7 weeks - 2–4 hours per week,https://www.edx.org/course/a-level-mathematics-for-year-12-course-1-algebraic?index=product&queryID=d04c732fc823003a640086173b40474f&position=23&results_level=second-level-results&search_index=product&term=&campaign=A-level+Mathematics+for+Year+12+-+Course+1%3A+Algebraic+Methods%2C+Graphs+and+Applied+Mathematics+Methods&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
47,"1,10,919",Steps in Japanese for Beginners1 Part1,WasedaX,English,Introductory,Self-paced - Progress at your own speed,4040,Language,5 weeks - 3–5 hours per week,https://www.edx.org/course/steps-in-japanese-for-beginners1-part1-2?index=product&queryID=d04c732fc823003a640086173b40474f&position=24&results_level=second-level-results&search_index=product&term=&campaign=Steps+in+Japanese+for+Beginners1+Part1&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch," English, 日本語"
48,"15,171",AWS Cloud Technical Essentials,AWS,English,Introductory,Self-paced - Progress at your own speed,12286,Computer Science,4 weeks - 2–4 hours per week,https://www.edx.org/course/aws-cloud-technical-essentials?index=product&queryID=066832ca978927939be6e8bdf9509a6e&position=1&results_level=second-level-results&search_index=product&term=&campaign=AWS+Cloud+Technical+Essentials&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
49,"2,25,760",Introduction to Computational Thinking and Data Science,MITx,English,Intermediate,Instructor-paced - Instructor led on a course schedule,6184,Computer Science,9 weeks - 14–16 hours per week,https://www.edx.org/course/introduction-to-computational-thinking-and-data-4?index=product&queryID=066832ca978927939be6e8bdf9509a6e&position=2&results_level=second-level-results&search_index=product&term=&campaign=Introduction+to+Computational+Thinking+and+Data+Science&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
50,"72,216","U.S. Public Policy: Social, Economic, and Foreign Policies",HarvardX,English,Introductory,Self-paced - Progress at your own speed,8163,Social Sciences,4 weeks - 2–4 hours per week,https://www.edx.org/course/us-public-policy-social-economic-and-foreign-polic?index=product&queryID=066832ca978927939be6e8bdf9509a6e&position=3&results_level=second-level-results&search_index=product&term=&campaign=U.S.+Public+Policy%3A+Social%2C+Economic%2C+and+Foreign+Policies&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
51,"1,32,009",Pre-University Calculus,DelftX,English,Introductory,Self-paced - Progress at your own speed,4123,Math,8 weeks - 6–8 hours per week,https://www.edx.org/course/pre-university-calculus-2?index=product&queryID=066832ca978927939be6e8bdf9509a6e&position=4&results_level=second-level-results&search_index=product&term=&campaign=Pre-University+Calculus&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
52,"1,44,283",Analyzing Data with Python,IBM,English,Introductory,Self-paced - Progress at your own speed,8163,Data Analysis & Statistics,5 weeks - 2–4 hours per week,https://www.edx.org/course/analyzing-data-with-python?index=product&queryID=066832ca978927939be6e8bdf9509a6e&position=5&results_level=second-level-results&search_index=product&term=&campaign=Analyzing+Data+with+Python&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,NA
53,"40,090",Inteligencia emocional para el liderazgo efectivo y colaboración,AnahuacX,Español,Introductory,Self-paced - Progress at your own speed,4040,Social Sciences,4 weeks - 4–5 hours per week,https://www.edx.org/course/inteligencia-emocional-para-el-liderazgo-efectiv-2?index=product&queryID=066832ca978927939be6e8bdf9509a6e&position=6&results_level=second-level-results&search_index=product&term=&campaign=Inteligencia+emocional+para+el+liderazgo+efectivo+y+colaboraci%C3%B3n&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, Español
54,"75,189",Causal Diagrams: Draw Your Assumptions Before Your Conclusions,HarvardX,English,Introductory,Self-paced - Progress at your own speed,8163,Data Analysis & Statistics,9 weeks - 2–3 hours per week,https://www.edx.org/course/causal-diagrams-draw-your-assumptions-before-your?index=product&queryID=066832ca978927939be6e8bdf9509a6e&position=7&results_level=second-level-results&search_index=product&term=&campaign=Causal+Diagrams%3A+Draw+Your+Assumptions+Before+Your+Conclusions&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
55,"2,08,364",JavaScript Introduction,W3Cx,English,Introductory,Self-paced - Progress at your own speed,16409,Computer Science,5 weeks - 6–8 hours per week,https://www.edx.org/course/javascript-introduction?index=product&queryID=066832ca978927939be6e8bdf9509a6e&position=8&results_level=second-level-results&search_index=product&term=&campaign=JavaScript+Introduction&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
56,"27,499",Comunicación y Pronunciación en Inglés,AnahuacX,Español,Introductory,Self-paced - Progress at your own speed,4040,Language,4 weeks - 4–6 hours per week,https://www.edx.org/course/comunicacion-y-pronunciacion-en-ingles?index=product&queryID=066832ca978927939be6e8bdf9509a6e&position=9&results_level=second-level-results&search_index=product&term=&campaign=Comunicaci%C3%B3n+y+Pronunciaci%C3%B3n+en+Ingl%C3%A9s&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, Español
57,"91,877",Business Foundations,UBCx,English,Introductory,Self-paced - Progress at your own speed,12369,Business & Management,6 weeks - 3–5 hours per week,https://www.edx.org/course/business-foundations?index=product&queryID=066832ca978927939be6e8bdf9509a6e&position=10&results_level=second-level-results&search_index=product&term=&campaign=Business+Foundations&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
58,"5,972",Intro to Stock Trading,NYIF,English,Introductory,Self-paced - Progress at your own speed,8163,Economics & Finance,3 weeks - 1–2 hours per week,https://www.edx.org/course/intro-to-stock-trading?index=product&queryID=066832ca978927939be6e8bdf9509a6e&position=11&results_level=second-level-results&search_index=product&term=&campaign=Intro+to+Stock+Trading&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
59,"1,33,355",Introduction to Social Psychology,UQx,English,Introductory,Self-paced - Progress at your own speed,16409,Humanities,7 weeks - 1–2 hours per week,https://www.edx.org/course/introduction-to-social-psychology?index=product&queryID=066832ca978927939be6e8bdf9509a6e&position=12&results_level=second-level-results&search_index=product&term=&campaign=Introduction+to+Social+Psychology&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
